Tour_ID,country,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,first_trip_tz,cost_category,total_person,tour_options,total_nights,total_nights_bin,continent
tour_idqu6wcsnb,united_states_of_america,45_to_64,Alone,1.0,0.0,Leisure_and_Holidays,Conference_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,1,10,0,0,High Cost,1.0,6,10,8_to_14_days,other
tour_ide02olqyl,united_states_of_america,more_65,With_Spouse,1.0,1.0,Visiting_Friends_and_Relatives,Wildlife_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,77,0,1,Normal Cost,2.0,0,77,31_to_180_days,other
tour_idlxsda4sc,united_kingdom,18_to_24,With_Other_Friends/Relatives,2.0,0.0,Visiting_Friends_and_Relatives,Wildlife_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,2,0,0,Normal Cost,2.0,0,2,less_7_days,other
tour_id7fydz45s,united_kingdom,25_to_44,With_Spouse_and_Children,2.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,1,1,0,4,4,1,Higher Cost,3.0,6,8,8_to_14_days,other
tour_id14f1pvfs,switzerland,45_to_64,Alone,1.0,0.0,Visiting_Friends_and_Relatives,Beach_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,27,0,1,Normal Cost,1.0,0,27,15_to_30_days,EU
tour_idy25vb5pz,germany,25_to_44,Alone,0.0,1.0,Business,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,0,0,0,0,1,0,0,Normal Cost,1.0,3,1,less_7_days,EU
tour_idt2agxtdk,united_kingdom,25_to_44,Alone,1.0,0.0,Visiting_Friends_and_Relatives,Beach_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,15,2,1,Low Cost,1.0,0,17,15_to_30_days,other
tour_idgzzgzdi0,united_states_of_america,more_65,Alone,1.0,0.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,0,15,0,0,Higher Cost,1.0,5,15,15_to_30_days,other
tour_idnlx1sc9e,kenya,18_to_24,Alone,1.0,0.0,Business,Hunting_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,3,1,0,Normal Cost,1.0,0,4,less_7_days,AF
tour_idjx6xtq4i,united_states_of_america,45_to_64,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Friends_relatives,Package_Tour,1,1,1,1,1,1,1,7,0,1,Higher Cost,2.0,7,7,less_7_days,other
tour_idxbxk8ogr,zimbabwe,45_to_64,Alone,0.0,1.0,Visiting_Friends_and_Relatives,Wildlife_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,5,0,0,Low Cost,1.0,0,5,less_7_days,AF
tour_iduygeog7r,greece,45_to_64,With_Other_Friends/Relatives,0.0,2.0,Volunteering,Hunting_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,2,0,1,Lower Cost,2.0,0,2,less_7_days,EU
tour_idyhqiraum,united_kingdom,45_to_64,With_Spouse_and_Children,2.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,0,14,0,1,Normal Cost,3.0,5,14,8_to_14_days,other
tour_idmba8iatr,poland,45_to_64,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,28,0,1,Normal Cost,2.0,0,28,15_to_30_days,EU
tour_idlbrc1np9,italy,25_to_44,With_Spouse_and_Children,2.0,2.0,Leisure_and_Holidays,Wildlife_Tourism,Newspaper_magazines_brochures,Package_Tour,0,1,1,0,1,1,0,10,10,1,Higher Cost,4.0,4,20,15_to_30_days,EU
tour_idmfm40912,zambia,45_to_64,With_Spouse,1.0,1.0,Business,Business,Newspaper_magazines_brochures,Independent,0,0,0,0,0,0,0,2,0,0,Normal Cost,2.0,0,2,less_7_days,AF
tour_idyhgfisit,austria,45_to_64,With_Other_Friends/Relatives,4.0,1.0,Visiting_Friends_and_Relatives,Mountain_Climbing,Friends_relatives,Independent,0,0,0,0,0,0,0,24,0,0,Normal Cost,5.0,0,24,15_to_30_days,EU
tour_idwakp7jt2,south_africa,25_to_44,With_Other_Friends/Relatives,1.0,2.0,Leisure_and_Holidays,Bird_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,6,0,0,Lower Cost,3.0,0,6,less_7_days,other
tour_idnt8qkx6g,malaysia,25_to_44,Alone,0.0,1.0,Meetings_and_Conference,Wildlife_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,4,0,0,Lower Cost,1.0,0,4,less_7_days,AS
tour_idil22wm4f,australia,45_to_64,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,18,0,1,Higher Cost,2.0,0,18,15_to_30_days,other
tour_id9kh7f3o1,france,25_to_44,With_Other_Friends/Relatives,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,2,11,1,Normal Cost,2.0,0,13,8_to_14_days,EU
tour_idsl4d9fcj,belgium,45_to_64,With_Children,1.0,2.0,Leisure_and_Holidays,Conference_Tourism,Newspaper_magazines_brochures,Package_Tour,1,1,1,1,1,1,1,7,4,1,Higher Cost,3.0,7,11,8_to_14_days,EU
tour_id8ih2x3ss,malaysia,45_to_64,With_Other_Friends/Relatives,1.0,2.0,Business,Wildlife_Tourism,Others,Package_Tour,0,1,1,1,1,0,0,3,15,0,High Cost,3.0,4,18,15_to_30_days,AS
tour_id2mii9wqu,czech_republic,25_to_44,With_Other_Friends/Relatives,2.0,2.0,Leisure_and_Holidays,Cultural_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,9,6,1,Higher Cost,4.0,0,15,15_to_30_days,other
tour_iduodqgcpk,italy,25_to_44,With_Other_Friends/Relatives,1.0,1.0,Business,Wildlife_Tourism,Radio_TV_Web,Independent,0,0,0,0,0,0,0,1,0,1,Lower Cost,2.0,0,1,less_7_days,EU
tour_idsq92sbk6,united_states_of_america,45_to_64,Alone,1.0,0.0,Leisure_and_Holidays,Wildlife_Tourism,Friends_relatives,Package_Tour,0,1,1,1,1,1,0,4,0,0,High Cost,1.0,5,4,less_7_days,other
tour_idzk0ezoi0,germany,25_to_44,With_Other_Friends/Relatives,3.0,0.0,Leisure_and_Holidays,Beach_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,9,12,0,Higher Cost,3.0,0,21,15_to_30_days,EU
tour_id2gju2kmq,united_states_of_america,more_65,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,0,1,0,9,0,1,Higher Cost,2.0,5,9,8_to_14_days,other
tour_id75463vej,australia,45_to_64,With_Children,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,1,7,5,1,Higher Cost,2.0,6,12,8_to_14_days,other
tour_id0b9a1bor,united_kingdom,more_65,Alone,0.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,1,11,0,1,Higher Cost,1.0,6,11,8_to_14_days,other
tour_idb2ssocsi,united_kingdom,18_to_24,Alone,0.0,1.0,Volunteering,Conference_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,0,0,0,8,0,1,High Cost,1.0,4,8,8_to_14_days,other
tour_idh2nhvv20,united_kingdom,45_to_64,Alone,0.0,1.0,Leisure_and_Holidays,Conference_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,1,1,0,9,0,1,Normal Cost,1.0,6,9,8_to_14_days,other
tour_idej88i9yi,spain,25_to_44,None,0.0,1.0,Other,Wildlife_Tourism,Others,Independent,0,0,0,0,0,0,0,10,0,0,Normal Cost,1.0,0,10,8_to_14_days,EU
tour_idcz8ysh24,united_kingdom,25_to_44,With_Children,1.0,1.0,Visiting_Friends_and_Relatives,Beach_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,20,0,1,Low Cost,2.0,0,20,15_to_30_days,other
tour_idkdu68wds,nigeria,25_to_44,Alone,0.0,1.0,Meetings_and_Conference,Mountain_Climbing,Others,Independent,0,0,0,0,0,0,0,20,3,1,Normal Cost,1.0,0,23,15_to_30_days,AF
tour_id8mmdp4k5,norway,25_to_44,With_Other_Friends/Relatives,3.0,4.0,Meetings_and_Conference,Wildlife_Tourism,Newspaper_magazines_brochures,Independent,0,0,0,0,0,0,0,5,0,1,High Cost,7.0,0,5,less_7_days,EU
tour_idcd2qfj1q,italy,more_65,With_Other_Friends/Relatives,2.0,5.0,Leisure_and_Holidays,Beach_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,0,1,0,0,0,12,4,1,High Cost,7.0,3,16,15_to_30_days,EU
tour_idltr9jnca,south_africa,25_to_44,With_Spouse_and_Children,2.0,2.0,Leisure_and_Holidays,Beach_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,0,1,0,0,0,2,12,1,Higher Cost,4.0,2,14,8_to_14_days,other
tour_idm10x2aws,germany,45_to_64,With_Spouse,1.0,1.0,Leisure_and_Holidays,Beach_Tourism,Friends_relatives,Package_Tour,1,1,0,1,0,0,0,4,10,1,Higher Cost,2.0,3,14,8_to_14_days,EU
tour_idvhefx3w4,canada,25_to_44,With_Children,1.0,1.0,Visiting_Friends_and_Relatives,Beach_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,6,0,0,Low Cost,2.0,0,6,less_7_days,North_Am
tour_idcmpjswq2,zambia,25_to_44,Alone,0.0,1.0,Business,Beach_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,4,0,0,Normal Cost,1.0,0,4,less_7_days,AF
tour_idujrou662,kenya,45_to_64,With_Other_Friends/Relatives,1.0,8.0,Meetings_and_Conference,Conference_Tourism,Newspaper_magazines_brochures,Independent,0,0,0,0,0,0,0,0,3,0,Normal Cost,9.0,0,3,less_7_days,AF
tour_idiqllafs3,switzerland,45_to_64,With_Spouse,1.0,1.0,Leisure_and_Holidays,Conference_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,0,0,1,0,14,0,1,Higher Cost,2.0,4,14,8_to_14_days,EU
tour_id7cqf2ffp,korea,25_to_44,Alone,0.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,0,1,1,1,5,4,1,High Cost,1.0,6,9,8_to_14_days,AS
tour_idfh8iwww9,united_states_of_america,25_to_44,Alone,0.0,1.0,Leisure_and_Holidays,Cultural_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,0,0,0,10,0,1,High Cost,1.0,3,10,8_to_14_days,other
tour_idl1dh1dh5,rwanda,25_to_44,None,0.0,1.0,Visiting_Friends_and_Relatives,Cultural_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,1,0,0,Lower Cost,1.0,0,1,less_7_days,AF
tour_idwqw7drjb,india,45_to_64,Alone,0.0,1.0,Visiting_Friends_and_Relatives,Beach_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,2,0,1,Lower Cost,1.0,0,2,less_7_days,AS
tour_idpx5fn406,drc,25_to_44,Alone,1.0,0.0,Visiting_Friends_and_Relatives,Cultural_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,3,0,0,Lower Cost,1.0,0,3,less_7_days,other
tour_idh8b4utn6,united_states_of_america,more_65,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,1,7,0,1,Higher Cost,2.0,6,7,less_7_days,other
tour_ida49lgjru,denmark,18_to_24,Alone,1.0,0.0,Leisure_and_Holidays,Cultural_Tourism,Friends_relatives,Package_Tour,1,1,1,1,1,0,0,3,5,1,Low Cost,1.0,5,8,8_to_14_days,EU
tour_idj29wl8n9,south_africa,45_to_64,With_Spouse_and_Children,1.0,3.0,Visiting_Friends_and_Relatives,Wildlife_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,10,0,0,Lower Cost,4.0,0,10,8_to_14_days,other
tour_idnt3vttz2,kenya,25_to_44,With_Children,49.0,44.0,Leisure_and_Holidays,Wildlife_Tourism,Others,Independent,0,0,0,0,0,0,0,4,0,1,Higher Cost,93.0,0,4,less_7_days,AF
tour_idck0u81vr,cyprus,25_to_44,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Tanzania_Mission_Abroad,Independent,0,0,0,0,0,0,0,8,0,1,Normal Cost,2.0,0,8,8_to_14_days,AS
tour_id9y3mnv5m,kenya,45_to_64,Alone,1.0,0.0,Leisure_and_Holidays,Wildlife_Tourism,Others,Independent,0,0,0,0,0,0,0,3,0,0,Lower Cost,1.0,0,3,less_7_days,AF
tour_idt2ci79zh,united_kingdom,45_to_64,Alone,0.0,1.0,Business,Hunting_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,100,0,0,Normal Cost,1.0,0,100,31_to_180_days,other
tour_idbw7q3yml,italy,25_to_44,With_Spouse,1.0,1.0,Leisure_and_Holidays,Beach_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,0,0,1,0,7,1,High Cost,2.0,5,7,less_7_days,EU
tour_id9iq9t5ag,united_states_of_america,25_to_44,With_Other_Friends/Relatives,1.0,3.0,Leisure_and_Holidays,Conference_Tourism,Friends_relatives,Package_Tour,0,1,1,1,1,0,0,7,0,1,High Cost,4.0,4,7,less_7_days,other
tour_idmxpiks34,austria,45_to_64,With_Other_Friends/Relatives,1.0,0.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,1,3,0,1,High Cost,1.0,6,3,less_7_days,EU
tour_idbxjct58u,italy,25_to_44,With_Spouse,1.0,1.0,Leisure_and_Holidays,Conference_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,0,10,0,1,High Cost,2.0,5,10,8_to_14_days,EU
tour_idvhf0fd92,united_states_of_america,45_to_64,With_Spouse,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,0,1,1,1,1,1,0,7,0,1,Normal Cost,2.0,5,7,less_7_days,other
tour_id6ilgl9pa,australia,25_to_44,Alone,1.0,0.0,Leisure_and_Holidays,Conference_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,9,0,1,Higher Cost,1.0,0,9,8_to_14_days,other
tour_idxkb0izpd,france,45_to_64,With_Spouse_and_Children,4.0,1.0,Leisure_and_Holidays,Beach_Tourism,Newspaper_magazines_brochures,Package_Tour,1,1,1,1,1,1,1,4,11,1,Higher Cost,5.0,7,15,15_to_30_days,EU
tour_id8cowbcge,spain,25_to_44,Alone,0.0,1.0,Business,Wildlife_Tourism,Travel_agent_tour_operator,Independent,0,0,0,0,0,0,0,2,0,1,Low Cost,1.0,0,2,less_7_days,EU
tour_idtm7nsjbx,zimbabwe,25_to_44,Alone,0.0,1.0,Leisure_and_Holidays,Beach_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,2,0,1,Low Cost,1.0,0,2,less_7_days,AF
tour_idq2foi7rp,united_states_of_america,more_65,With_Children,1.0,1.0,Leisure_and_Holidays,Wildlife_Tourism,Travel_agent_tour_operator,Package_Tour,1,1,1,1,1,1,1,4,0,1,Higher Cost,2.0,7,4,less_7_days,other
tour_idr0ws3l85,united_states_of_america,25_to_44,With_Spouse,2.0,0.0,Visiting_Friends_and_Relatives,Wildlife_Tourism,Friends_relatives,Independent,0,0,0,0,0,0,0,9,6,1,High Cost,2.0,0,15,15_to_30_days,other
